"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"13.03.2020","8,020","8,090","8,100","7,960","-1,84%"
"16.03.2020","8,230","8,020","8,350","7,990","2,62%"
"17.03.2020","8,250","8,230","8,280","8,180","0,24%"
"18.03.2020","8,490","8,185","8,500","8,155","2,91%"
"19.03.2020","8,485","8,490","8,575","8,470","-0,06%"
"20.03.2020","7,960","8,500","8,500","7,960","-6,19%"
"23.03.2020","8,020","7,960","8,090","7,960","0,75%"
"24.03.2020","7,460","7,900","7,910","7,460","-6,98%"
"25.03.2020","7,630","7,420","7,690","7,360","2,28%"
"26.03.2020","7,420","7,550","7,550","7,420","-2,75%"
"27.03.2020","7,310","7,360","7,420","7,300","-1,48%"
"30.03.2020","7,400","7,480","7,530","7,390","1,23%"
"31.03.2020","7,270","7,400","7,450","7,240","-1,76%"
"01.04.2020","7,240","7,270","7,300","7,220","-0,41%"
"02.04.2020","7,300","7,230","7,410","7,160","0,83%"
"03.04.2020","7,110","7,300","7,300","7,110","-2,60%"
"06.04.2020","7,010","7,110","7,110","7,000","-1,41%"
"07.04.2020","6,940","7,020","7,020","6,940","-1,00%"
"08.04.2020","6,980","7,000","7,000","6,940","0,58%"
"09.04.2020","6,930","6,990","7,020","6,930","-0,72%"
"10.04.2020","6,940","6,930","6,960","6,910","0,14%"
"13.04.2020","6,910","6,930","6,980","6,890","-0,43%"
"14.04.2020","6,940","6,920","6,960","6,900","0,43%"
"15.04.2020","6,980","6,960","6,990","6,930","0,58%"
"16.04.2020","6,910","7,020","7,020","6,890","-1,00%"
"17.04.2020","6,690","6,910","6,910","6,690","-3,18%"
"20.04.2020","6,530","6,690","6,740","6,480","-2,39%"
"21.04.2020","6,700","6,530","6,710","6,530","2,60%"
"22.04.2020","6,530","6,690","6,690","6,530","-2,54%"
"23.04.2020","6,470","6,530","6,580","6,470","-0,92%"
"24.04.2020","6,480","6,470","6,500","6,450","0,15%"
"27.04.2020","6,460","6,480","6,500","6,430","-0,31%"
"28.04.2020","6,510","6,480","6,520","6,430","0,77%"
"29.04.2020","6,520","6,510","6,520","6,510","0,15%"
"30.04.2020","6,450","6,520","6,520","6,440","-1,07%"
"04.05.2020","6,450","6,520","6,520","6,430","0,00%"
"05.05.2020","6,440","6,520","6,520","6,380","-0,16%"
"06.05.2020","6,430","6,440","6,440","6,400","-0,16%"
"07.05.2020","6,430","6,480","6,480","6,420","0,00%"
"08.05.2020","6,290","6,480","6,480","6,270","-2,18%"
"12.05.2020","6,320","6,290","6,360","6,240","0,48%"
"13.05.2020","6,320","6,370","6,370","6,310","0,00%"
"14.05.2020","6,290","6,320","6,350","6,290","-0,47%"
"15.05.2020","6,150","6,290","6,330","6,140","-2,23%"
"18.05.2020","5,950","6,150","6,190","5,920","-3,25%"
"19.05.2020","5,940","5,950","5,970","5,870","-0,17%"
"20.05.2020","5,900","5,940","5,980","5,890","-0,67%"
"21.05.2020","5,900","5,940","5,940","5,890","0,00%"
"22.05.2020","5,900","5,920","5,920","5,890","0,00%"
"25.05.2020","5,970","5,900","5,970","5,900","1,19%"
"26.05.2020","5,970","5,920","5,970","5,900","0,00%"
"27.05.2020","6,020","5,970","6,020","5,930","0,84%"
"28.05.2020","6,010","6,020","6,020","5,970","-0,17%"
"29.05.2020","6,010","6,010","6,070","5,970","0,00%"
"01.06.2020","5,980","6,010","6,020","5,970","-0,50%"
"02.06.2020","5,950","5,980","5,990","5,940","-0,50%"
"03.06.2020","5,970","5,950","6,010","5,950","0,34%"
"04.06.2020","6,080","5,970","6,080","5,950","1,84%"
"05.06.2020","6,160","6,120","6,160","6,050","1,32%"
"08.06.2020","6,150","6,160","6,160","6,120","-0,16%"
"09.06.2020","6,130","6,150","6,190","6,130","-0,33%"
"10.06.2020","6,110","6,180","6,180","6,070","-0,33%"
"11.06.2020","6,110","6,110","6,130","6,060","0,00%"
"15.06.2020","6,130","6,110","6,130","6,080","0,33%"
"16.06.2020","6,070","6,130","6,130","6,070","-0,98%"
"17.06.2020","6,000","6,070","6,090","5,970","-1,15%"
"18.06.2020","6,010","6,050","6,050","6,010","0,17%"
"19.06.2020","5,970","6,050","6,050","5,920","-0,67%"
"22.06.2020","6,000","5,970","6,000","5,970","0,50%"
"23.06.2020","6,050","6,000","6,050","6,000","0,83%"
"25.06.2020","6,060","6,090","6,090","6,050","0,17%"
"26.06.2020","6,140","6,050","6,140","6,050","1,32%"
"29.06.2020","6,090","6,140","6,140","6,090","-0,81%"
"30.06.2020","6,230","6,090","6,230","6,090","2,30%"
"02.07.2020","6,170","6,230","6,230","6,170","-0,96%"
"03.07.2020","6,350","6,200","6,350","6,160","2,92%"
"06.07.2020","6,330","6,350","6,350","6,300","-0,31%"
"07.07.2020","6,300","6,360","6,360","6,270","-0,47%"
"08.07.2020","6,270","6,300","6,300","6,270","-0,48%"
"09.07.2020","6,280","6,310","6,310","6,230","0,16%"
"10.07.2020","6,280","6,300","6,310","6,270","0,00%"
"13.07.2020","6,270","6,280","6,290","6,240","-0,16%"
"14.07.2020","6,260","6,280","6,280","6,220","-0,16%"
"15.07.2020","6,290","6,260","6,290","6,220","0,48%"
"16.07.2020","6,290","6,270","6,330","6,270","0,00%"
"17.07.2020","6,260","6,320","6,320","6,260","-0,48%"
"20.07.2020","6,270","6,320","6,320","6,270","0,16%"
"21.07.2020","6,240","6,320","6,320","6,240","-0,48%"
"22.07.2020","6,200","6,240","6,240","6,190","-0,64%"
"23.07.2020","6,220","6,240","6,240","6,170","0,32%"
"24.07.2020","6,230","6,240","6,240","6,210","0,16%"
"27.07.2020","6,280","6,240","6,280","6,220","0,80%"
"28.07.2020","6,310","6,260","6,320","6,260","0,48%"
"29.07.2020","6,290","6,310","6,310","6,270","-0,32%"
"30.07.2020","6,310","6,310","6,340","6,280","0,32%"
"31.07.2020","6,320","6,350","6,350","6,280","0,16%"
"03.08.2020","6,280","6,330","6,330","6,260","-0,63%"
"04.08.2020","6,280","6,280","6,310","6,250","0,00%"
"05.08.2020","6,240","6,300","6,300","6,220","-0,64%"
"06.08.2020","6,270","6,280","6,290","6,230","0,48%"
"07.08.2020","6,240","6,270","6,270","6,230","-0,48%"
"10.08.2020","6,240","6,270","6,270","6,210","0,00%"
"11.08.2020","6,240","6,280","6,280","6,240","0,00%"
"12.08.2020","6,260","6,280","6,280","6,240","0,32%"
"13.08.2020","6,280","6,280","6,310","6,250","0,32%"
"14.08.2020","6,320","6,310","6,320","6,260","0,64%"
"17.08.2020","6,370","6,360","6,390","6,310","0,79%"
"18.08.2020","6,420","6,370","6,470","6,370","0,78%"
"19.08.2020","6,370","6,470","6,470","6,370","-0,78%"
"20.08.2020","6,440","6,430","6,450","6,400","1,10%"
"21.08.2020","6,460","6,470","6,470","6,420","0,31%"
"24.08.2020","6,430","6,470","6,470","6,400","-0,46%"
"25.08.2020","6,440","6,470","6,470","6,420","0,16%"
"26.08.2020","6,460","6,470","6,470","6,440","0,31%"
"27.08.2020","6,470","6,470","6,470","6,450","0,15%"
"28.08.2020","6,460","6,470","6,470","6,420","-0,15%"
"31.08.2020","6,410","6,470","6,470","6,410","-0,77%"
"01.09.2020","6,420","6,450","6,450","6,400","0,16%"
"02.09.2020","6,520","6,450","6,520","6,420","1,56%"
"03.09.2020","6,550","6,550","6,550","6,510","0,46%"
"04.09.2020","6,580","6,570","6,580","6,540","0,46%"
"07.09.2020","6,560","6,600","6,600","6,520","-0,30%"
"08.09.2020","6,620","6,570","6,620","6,540","0,91%"
"09.09.2020","6,580","6,620","6,620","6,570","-0,60%"
"10.09.2020","6,550","6,580","6,600","6,550","-0,46%"
"11.09.2020","6,580","6,590","6,590","6,540","0,46%"
"14.09.2020","6,590","6,580","6,590","6,550","0,15%"
"15.09.2020","6,620","6,600","6,640","6,590","0,46%"
"16.09.2020","6,600","6,620","6,640","6,600","-0,30%"
"17.09.2020","6,600","6,600","6,610","6,600","0,00%"
"18.09.2020","6,600","6,600","6,620","6,600","0,00%"
"21.09.2020","6,630","6,600","6,660","6,600","0,45%"
"22.09.2020","6,610","6,690","6,690","6,600","-0,30%"
"23.09.2020","6,670","6,690","6,690","6,600","0,91%"
"24.09.2020","6,640","6,690","6,690","6,630","-0,45%"
"25.09.2020","6,670","6,690","6,690","6,630","0,45%"
"28.09.2020","6,680","6,680","6,710","6,670","0,15%"
"29.09.2020","6,670","6,700","6,720","6,660","-0,15%"
"30.09.2020","6,640","6,670","6,680","6,580","-0,45%"
"01.10.2020","6,610","6,640","6,640","6,590","-0,45%"
"02.10.2020","6,630","6,650","6,650","6,580","0,30%"
"05.10.2020","6,610","6,650","6,650","6,580","-0,30%"
"06.10.2020","6,580","6,610","6,650","6,570","-0,45%"
"07.10.2020","6,560","6,560","6,580","6,560","-0,30%"
"08.10.2020","6,530","6,570","6,570","6,500","-0,46%"
"09.10.2020","6,540","6,530","6,560","6,510","0,15%"
"12.10.2020","6,480","6,550","6,550","6,460","-0,92%"
"13.10.2020","6,470","6,530","6,530","6,460","-0,15%"
"14.10.2020","6,440","6,490","6,490","6,410","-0,46%"
"15.10.2020","6,470","6,440","6,490","6,440","0,47%"
"16.10.2020","6,450","6,470","6,510","6,450","-0,31%"
"19.10.2020","6,450","6,450","6,470","6,410","0,00%"
"20.10.2020","6,440","6,480","6,480","6,410","-0,16%"
"21.10.2020","6,440","6,470","6,470","6,380","0,00%"
"22.10.2020","6,440","6,470","6,470","6,400","0,00%"
"23.10.2020","6,410","6,450","6,450","6,380","-0,47%"
"26.10.2020","6,390","6,440","6,440","6,370","-0,31%"
"27.10.2020","6,470","6,390","6,470","6,370","1,25%"
"28.10.2020","6,490","6,470","6,510","6,430","0,31%"
"29.10.2020","6,510","6,500","6,540","6,450","0,31%"
"30.10.2020","6,540","6,560","6,560","6,470","0,46%"
"02.11.2020","6,620","6,540","6,620","6,520","1,22%"
"03.11.2020","6,560","6,620","6,620","6,560","-0,91%"
"05.11.2020","6,440","6,600","6,600","6,440","-1,83%"
"06.11.2020","6,420","6,490","6,490","6,390","-0,31%"
"09.11.2020","6,380","6,430","6,430","6,360","-0,62%"
"10.11.2020","6,380","6,360","6,400","6,360","0,00%"
"11.11.2020","6,410","6,380","6,410","6,360","0,47%"
"12.11.2020","6,360","6,410","6,410","6,360","-0,78%"
"13.11.2020","6,330","6,400","6,400","6,330","-0,47%"
"16.11.2020","6,330","6,330","6,360","6,320","0,00%"
"17.11.2020","6,330","6,330","6,360","6,310","0,00%"
"18.11.2020","6,360","6,330","6,370","6,320","0,47%"
"19.11.2020","6,380","6,360","6,400","6,340","0,31%"
"20.11.2020","6,380","6,410","6,410","6,380","0,00%"
"23.11.2020","6,380","6,410","6,410","6,340","0,00%"
"24.11.2020","6,370","6,380","6,400","6,350","-0,16%"
"25.11.2020","6,380","6,390","6,400","6,350","0,16%"
"26.11.2020","6,380","6,400","6,400","6,370","0,00%"
"27.11.2020","6,370","6,400","6,430","6,360","-0,16%"
"30.11.2020","6,360","6,450","6,450","6,360","-0,16%"
"01.12.2020","6,380","6,430","6,430","6,360","0,31%"
"02.12.2020","6,400","6,400","6,400","6,360","0,31%"
"03.12.2020","6,390","6,370","6,400","6,360","-0,16%"
"04.12.2020","6,390","6,420","6,420","6,370","0,00%"
"07.12.2020","6,380","6,420","6,420","6,360","-0,16%"
"08.12.2020","6,360","6,420","6,420","6,360","-0,31%"
"09.12.2020","6,370","6,360","6,400","6,360","0,16%"
"10.12.2020","6,370","6,390","6,390","6,360","0,00%"
"11.12.2020","6,380","6,370","6,390","6,360","0,16%"
"14.12.2020","6,380","6,390","6,390","6,360","0,00%"
"15.12.2020","6,380","6,380","6,390","6,380","0,00%"
"16.12.2020","6,360","6,410","6,410","6,360","-0,31%"
"17.12.2020","6,380","6,410","6,410","6,360","0,31%"
"18.12.2020","6,420","6,380","6,420","6,360","0,63%"
"21.12.2020","6,460","6,440","6,480","6,410","0,62%"
"22.12.2020","6,460","6,460","6,510","6,420","0,00%"
"23.12.2020","6,470","6,460","6,490","6,420","0,15%"
"24.12.2020","6,470","6,460","6,520","6,460","0,00%"
"25.12.2020","6,470","6,470","6,520","6,460","0,00%"
"28.12.2020","6,480","6,470","6,500","6,460","0,15%"
"29.12.2020","6,470","6,480","6,490","6,460","-0,15%"
"30.12.2020","6,470","6,480","6,480","6,460","0,00%"
"04.01.2021","6,450","6,480","6,480","6,410","-0,31%"
"05.01.2021","6,420","6,480","6,480","6,390","-0,47%"
"06.01.2021","6,420","6,430","6,430","6,390","0,00%"
"08.01.2021","6,440","6,430","6,450","6,390","0,31%"
"11.01.2021","6,490","6,480","6,500","6,450","0,78%"
"12.01.2021","6,520","6,500","6,530","6,490","0,46%"
"13.01.2021","6,520","6,540","6,540","6,500","0,00%"
"14.01.2021","6,520","6,530","6,540","6,500","0,00%"
"15.01.2021","6,610","6,540","6,610","6,520","1,38%"
"18.01.2021","6,600","6,620","6,620","6,580","-0,15%"
"19.01.2021","6,640","6,600","6,650","6,580","0,61%"
"20.01.2021","6,610","6,640","6,660","6,590","-0,45%"
"21.01.2021","6,600","6,610","6,640","6,590","-0,15%"
"22.01.2021","6,670","6,640","6,700","6,620","1,06%"
"25.01.2021","6,680","6,660","6,700","6,610","0,15%"
"26.01.2021","6,680","6,750","6,750","6,680","0,00%"
"27.01.2021","6,700","6,710","6,710","6,660","0,30%"
"28.01.2021","6,690","6,710","6,730","6,690","-0,15%"
"29.01.2021","6,690","6,690","6,700","6,680","0,00%"
"01.02.2021","6,680","6,720","6,720","6,680","-0,15%"
"02.02.2021","6,710","6,720","6,720","6,680","0,45%"
"03.02.2021","6,730","6,720","6,740","6,680","0,30%"
"04.02.2021","6,710","6,740","6,740","6,690","-0,30%"
"05.02.2021","6,670","6,740","6,740","6,670","-0,60%"
"08.02.2021","6,660","6,660","6,670","6,640","-0,15%"
"09.02.2021","6,690","6,720","6,720","6,640","0,45%"
"10.02.2021","6,700","6,740","6,740","6,670","0,15%"
"11.02.2021","6,730","6,690","6,760","6,690","0,45%"
"12.02.2021","6,760","6,760","6,770","6,680","0,45%"
"15.02.2021","6,790","6,720","6,790","6,720","0,44%"
"16.02.2021","6,840","6,800","6,840","6,790","0,74%"
"17.02.2021","6,930","6,930","6,960","6,850","1,32%"
"18.02.2021","6,930","6,960","6,990","6,920","0,00%"
"19.02.2021","7,000","6,980","7,020","6,930","1,01%"
"20.02.2021","6,995","7,000","7,015","6,990","-0,07%"
"22.02.2021","7,000","6,980","7,040","6,930","0,07%"
"24.02.2021","7,020","6,980","7,040","6,930","0,29%"
"25.02.2021","7,020","7,020","7,020","6,980","0,00%"
"26.02.2021","7,040","7,020","7,040","7,000","0,28%"
"01.03.2021","7,020","7,080","7,080","7,010","-0,28%"
"02.03.2021","6,990","7,080","7,080","6,990","-0,43%"
"03.03.2021","6,980","7,030","7,030","6,970","-0,14%"
"04.03.2021","6,920","6,980","7,020","6,900","-0,86%"
"05.03.2021","6,980","6,920","6,980","6,890","0,87%"
"09.03.2021","6,930","6,980","6,980","6,910","-0,72%"
"10.03.2021","6,990","6,980","6,990","6,910","0,87%"
"11.03.2021","6,990","6,970","7,000","6,970","0,00%"
"12.03.2021","7,000","6,990","7,020","6,990","0,14%"